Day,Date,Baseline,Compare to Normal,5-Day Average Compare to Normal
"Wednesday, January 27, 2021",1/27/2021,1,0.29514,0.211777644
"Thursday, January 28, 2021",1/28/2021,1,0.2276,0.206666167
"Friday, January 29, 2021",1/29/2021,1,0.53557,0.270796178
"Monday, February 1, 2021",2/1/2021,1,0.19126,0.275598149
"Tuesday, February 2, 2021",2/2/2021,1,0.22501,0.294917606
"Wednesday, February 3, 2021",2/3/2021,1,0.24611,0.285112595
"Thursday, February 4, 2021",2/4/2021,1,0.34633,0.308857495
"Friday, February 5, 2021",2/5/2021,1,0.44529,0.290800002
"Monday, February 8, 2021",2/8/2021,1,0.1931,0.29116766
"Tuesday, February 9, 2021",2/9/2021,1,0.2354,0.293247036
"Wednesday, February 10, 2021",2/10/2021,1,0.33432,0.310887654
"Thursday, February 11, 2021",2/11/2021,1,0.38643,0.318908857
"Friday, February 12, 2021",2/12/2021,1,0.78452,0.386755402
"Monday, February 15, 2021",2/15/2021,1,,0.435168534
"Tuesday, February 16, 2021",2/16/2021,1,0.30055,0.451453923
"Wednesday, February 17, 2021",2/17/2021,1,0.30706,0.444639098
"Thursday, February 18, 2021",2/18/2021,1,0.35772,0.437460649
"Friday, February 19, 2021",2/19/2021,1,0.43573,0.350263903
"Monday, February 22, 2021",2/22/2021,1,0.24516,0.329243116
"Tuesday, February 23, 2021",2/23/2021,1,0.29727,0.328587892
"Wednesday, February 24, 2021",2/24/2021,1,0.3233,0.331836534
"Thursday, February 25, 2021",2/25/2021,1,0.36779,0.333849554
"Friday, February 26, 2021",2/26/2021,1,0.57847,0.362395959
"Monday, March 1, 2021",3/1/2021,1,0.25732,0.364827521
"Tuesday, March 2, 2021",3/2/2021,1,0.35205,0.375782925
"Wednesday, March 3, 2021",3/3/2021,1,0.4406,0.399243462
"Thursday, March 4, 2021",3/4/2021,1,0.43379,0.412444232
"Friday, March 5, 2021",3/5/2021,1,0.61231,0.419213941
"Monday, March 8, 2021",3/8/2021,1,0.2957,0.42688976
"Tuesday, March 9, 2021",3/9/2021,1,0.40775,0.438031427
"Wednesday, March 10, 2021",3/10/2021,1,0.43625,0.437160997
"Thursday, March 11, 2021",3/11/2021,1,0.3521,0.420823957
"Friday, March 12, 2021",3/12/2021,1,0.5561,0.409581655
